"sku","_links_crosssell_sku"
"","BG:0063"
"PU:D:0123","BT:0024"
"","BG:0063"
"PU:D:0124","MT:0008"
"","F:0038"
"","BG:0030"
"PU:D:0125","MT:0012"
"","MT:0013"
"","F:0039"
"","BG:0039"
"PU:D:0126","MT:0013"
"PU:D:0127","MT:0077"
"PU:D:0128","MT:0020"
"PU:D:0129","MT:0029"
"PU:D:0130","MT:0012"
"","MT:0013"
"","F:0039"
"","BG:0039"
"PU:D:0131","F:0039"
"","BG:0039"
"PU:D:0132","BG:0022"
"","F:0018"
"PU:D:0133","BG:0022"
"","F:0018"
"PU:D:0135","F:0004"
"","F:0043"
"PU:D:0136","F:0043"
"PU:D:0137","F:0003"
"PU:D:0138","F:0044"
"PU:D:0139","F:0044"
"PU:D:0140","MT:0029"
"PU:D:0149","BG:0021"
"PU:D:0150","BG:0021"
"","BG:0022"
"PU:D:0152","BG:0030"
"","F:0042"
"PU:D:0153","BG:0030"
"","F:0042"
"PU:D:0154","BG:0030"
"","F:0042"
"BR:0004","VU:0000"
"","VU:0001"
"","VU:0062"
"BR:0006","VU:0014"
"BR:0007","VU:0010"
"","VU:0011"
"","VU:0012"
"","VU:0021"
"","VU:0023"
"BR:0008","VU:0003"
"","VU:0005"
"","VU:0063"
"BR:0009","BT:0032"
"BR:0010","VU:0010"
"","VU:0011"
"","VU:0012"
"","VU:0013"
"","VU:0020"
"","VU:0021"
"","VU:0023"
"","VU:0024"
"BR:0011","VU:0014"
"VU:0000","BR:0004"
"","BT:0033"
"VU:0001","BR:0004"
"","BT:0033"
"VU:0003","BR:0008"
"","BT:0031"
"VU:0004","BT:0031"
"VU:0005","BR:0008"
"","BT:0031"
"VU:0006","BG:0213"
"VU:0007","BG:0213"
"VU:0008","BG:0213"
"VU:0009","BG:0213"
"VU:0010","BR:0007"
"","BR:0010"
"","RP:0013"
"","BG:0208"
"","BG:0212"
"VU:0011","BR:0007"
"","BR:0010"
"","RP:0013"
"","BG:0212"
"VU:0012","BR:0007"
"","BR:0010"
"","RP:0013"
"","PB:0009"
"","BG:0208"
"","BG:0212"
"VU:0013","BR:0010"
"","BG:0212"
"VU:0014","BR:0006"
"","BR:0011"
"","RP:0009"
"","RP:0013"
"","BG:0208"
"","BG:0212"
"VU:0015","BG:0212"
"VU:0016","BG:0212"
"VU:0018","BG:0207"
"VU:0020","BR:0010"
"","RP:0032"
"","PB:0009"
"","BG:0208"
"","BG:0209"
"","BG:0212"
"VU:0021","BR:0007"
"","BR:0010"
"","BG:0212"
"VU:0022","BG:0212"
"VU:0023","BR:0007"
"","BR:0010"
"","PB:0009"
"","BG:0212"
"VU:0024","BR:0010"
"","BG:0212"
"VU:0025","F:0139"
"","F:0140"
"","BG:0210"
"VU:0027","BT:0031"
"VU:0031","F:0139"
"","F:0140"
"","BG:0210"
"H:0012","EP:0059"
"H:0013","EP:0057"
"H:0014","A:0021"
"H:0016","EP:0056"
"H:0017","EP:0056"
"H:0018","EP:0059"
"H:0019","EP:0059"
"H:0020","VC:0012"
"","VC:0013"
"","VC:0014"
"","VC:0015"
"","VC:0018"
"","VC:0032"
"VC:0008","TP:0024"
"","EP:0057"
"","EP:0058"
"","EP:0059"
"","F:0061"
"","CT:0007"
"","CT:0012"
"","CT:0016"
"","FB:0008"
"","FB:0012"
"","FB:0013"
"","FB:0014"
"","FB:0028"
"","FB:0030"
"","A:0021"
"VC:0009","TP:0024"
"","EP:0057"
"","EP:0058"
"","EP:0059"
"","F:0061"
"","CT:0007"
"","CT:0012"
"","CT:0016"
"","FB:0008"
"","FB:0012"
"","FB:0013"
"","FB:0014"
"","FB:0028"
"","FB:0030"
"","A:0021"
"VC:0010","TP:0024"
"","EP:0057"
"","EP:0058"
"","EP:0059"
"","F:0061"
