sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,adj_interval_length,adj_max_length,adj_min_length,air_watts,amps,anti_tip_device,attachment_type,bag_electrostatic,bag_fill_style,bag_filter_inc,bag_filter_qty,bag_filtration,bag_layers,bag_type,brand,brush_adjustable,brush_diameter,brush_material,brush_qty,brush_removable,brush_shapes,brush_side_qty,brush_side_size,brush_size,brush_total_qty,bumper_depth,bumper_fit,bumper_size,bumper_width,capacitors,capacity_gal,cfm,charge_time,clean_path_width,color,combo_floor_switch,connection_type,cordless_battery,cordless_runtime,cord_auto_rewind,cord_hook_adjust,cord_management,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,decibels,description,diameter,dirt_capacity,discontinued,drive_train,edge_clean,electric,exhaust_cyclonic,exhaust_opening,filter_efficiency,filter_microns,filter_type,filter_washable,filtration_method,fit,flexible,gallery,gearbox,gift_message_available,gtin12_upc,handheld,handle_adjust,handle_carry,handle_ergonomic,handle_folds,handle_swivel,hanger_max_length,hanger_washable,has_options,headlight,height_settings,height_settings_auto,hose_air_relief_valve,hose_crushproof,hose_length_feet,hose_power_switch,hose_type,image,image_label,inc_p_bags,inc_p_carpet_tool,inc_p_crevice_tool,inc_p_dusting_brush,inc_p_extractor_wand,inc_p_floor_tool,inc_p_hose,inc_p_hygiene_cap,inc_p_micro_filter,inc_p_micro_strip,inc_p_misc,inc_p_motor_filter,inc_p_upholstery_tool,inc_p_wand,indicator_bag_full,indicator_brush_obstruction,indicator_dirt_sensor,indicator_filter_replace,indicator_motor_status,indicator_on_off_light,indicator_roller_replace,inlet_auto_on,inlet_connection,inlet_door_style,inlet_lights,inlet_use_trim,maintenance,main_motor_rpm,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,motor_air_discharge,motor_bearing,motor_brush,motor_cobr_material,motor_duty_cycle,motor_electric_conn,motor_fabr_material,motor_fan_diameter,motor_fan_style,motor_fashcoat,motor_frequency,motor_hp,motor_ins_class,motor_name,motor_qty,motor_speeds,motor_stages,motor_temp_high,motor_temp_low,motor_therm_protect,motor_type,motor_watts,movement_power,msrp,msrp_display_actual_price_type,msrp_enabled,muffler_hookup,muffler_shape,name,name_alternative,neck_movement,news_from_date,news_to_date,noise_level,operating_radius_feet,options_container,org_etl_listed,org_gl_approved,org_leed_certified,org_ul_recognized,pad_driver_incl,page_layout,part_model_number,part_store_number,pdf_manuals,pdf_spec_sheet,powerhead_removable,power_control_variable,power_cord_detachable,power_cord_length_feet,power_reset_btn,power_safety_shutoff,power_settings,power_settings_auto,price,product_applications,product_bumper_included,product_family_series,product_finish,product_height_inches,product_length_inches,product_material,product_tool_storage,product_video_youtube_link,product_warranty,product_width_inches,psi,pvc_degree,pvc_style,pvc_type,qty_in_pack,receptacle_type,recovery_capacity,replacement_part,required_options,roller_material,roller_motor,roller_motor_controls,roller_rpm,safety_guard,scraped,sealed_system,short_description,small_image,small_image_label,solution_capacity,special_from_date,special_order,special_price,special_to_date,square_ft,squeegee_width,status,switch_loc,system_type,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,utility_valve,visibility,visual_interface_type,voltage,wand_included,waterlift,weight,wet_dry,wet_dry_drain_required,wheels,wheels_swivel,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
PU:D:0198,,"Power Unit",simple,,,base,,,,400.000,12.00,,,,,,,,,,Vacuflo,,,,,,,,,,,,,,,,1.00,0.000,,,Black,,,,,,,,,,"2016-04-05 14:14:17",,,,,0.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Vroom Garage Vac",,,,,,,"Product Info Column",,No,No,No,,,Vroom,,,,,,,0.00,,No,,,249.0000,,,"Garage Vac",,0.00,0.00,,,,"6 years",0.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,,,1,,Bagged,2,,,"2016-04-07 18:19:29",,,No,4,None,120,,100.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0199,,"Power Unit",simple,,,base,,,,400.000,12.00,,,,,,,,,,Vacuflo,,,,,,,,,,,,,,,,4.00,0.000,,,Black,,,,,,,,,,"2016-04-05 14:14:17",,,,,0.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Vroom Garage Vac Ultra",,,,,,,"Product Info Column",,No,No,No,,,"Vroom Ultra",,,,,,,0.00,,No,,,0.0000,,,"Garage Vac",,0.00,0.00,,,,,0.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,,,1,,Bagged,2,,,"2016-04-07 18:19:29",,,Yes,4,None,120,,100.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0200,,"Power Unit",simple,,,base,,,,640.000,15.00,,,,,,,,,,Beam,,,,,,,,,,,,,,,,7.00,126.000,,,Black,,,,,,,,,,"2016-04-05 14:14:17",,,,,0.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Serenity IQS 3980A Power Unit",,,,,,,"Product Info Column",,No,No,No,,,3980,,,http://www.beamvac.com/Documents/Manuals/USA/SpecSheets/SpecSheet_Serenity.pdf,,,,0.00,,No,,,1119.9500,,,Serenity,,42.00,14.00,,,,,14.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,12000,,1,,,2,,,"2016-04-07 18:19:29",,,Yes,4,LCD,120,,137.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0201,,"Power Unit",simple,,,base,,,,600.000,14.50,,,,,,,,,,Beam,,,,,,,,,,,,,,,,4.00,125.000,,,Black,,,,,,,,,,"2016-04-05 14:14:17",,,,,0.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Serenity QS 375A Power Unit",,,,,,,"Product Info Column",,No,No,No,,,375A,,,,,,,0.00,,No,,,753.9500,,,Serenity,,42.00,11.00,,,,,11.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,7000,,1,,Bagless,2,,,"2016-04-07 18:19:29",,,Yes,4,None,120,,140.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0202,,"Power Unit",simple,,,base,,,,640.000,15.00,,,,,,,,,,Beam,,,,,,,,,,,,,,,,7.00,126.000,,,Black,,,,,,,,,,"2016-04-05 14:14:17",,,,,0.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Serenity QS 398A Power Unit",,,,,,,"Product Info Column",,No,No,No,,,398A,,,,,,,0.00,,No,,,1022.9500,,,Serenity,,42.00,14.00,,,,,14.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,12000,,1,,Bagless,2,,,"2016-04-07 18:19:29",,,Yes,4,None,120,,137.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0203,,"Power Unit",simple,,,base,,,,640.000,15.00,,,,,,,,,,Beam,,,,,,,,,,,,,,,,7.00,126.000,,,Grey,,,,,,,,,,"2016-04-05 14:14:17",,,,,0.00,test,,,No,,,,,,,,Cartridge,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Classic 298C Power Unit",,,,,,,"Product Info Column",,No,No,No,,,298C,,,,,,,0.00,,No,,,913.9500,,,,,40.00,14.00,,,,,14.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,12000,,1,,"Filtered Cyclonic",2,,,"2016-04-07 18:19:29",,,Yes,4,None,120,,137.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0204,,"Power Unit",simple,,,base,,,,700.000,0.00,,,,,,,,,,Beam,,,,,,,,,,,,,,,,4.00,107.000,,,Black,,,,,,,,,,"2016-04-05 14:14:17",,,,,68.00,test,,,No,,,,,,,,,No,HEPA,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Alliance 700TC Power Unit",,,,,,,"Product Info Column",,No,No,No,,,700TC,,,,,,,0.00,,No,,,1169.9900,,,Alliance,,43.00,15.00,,,,,15.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,13000,,1,,,2,,,"2016-04-07 18:19:29",,,No,4,LCD,1200,,146.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0205,,"Power Unit",simple,,,base,,,,700.000,0.00,,,,,,,,,,Beam,,,,,,,,,,,,,,,,4.00,107.000,,,Grey,,,,,,,,,,"2016-04-05 14:14:17",,,,,68.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Alliance 700TB Power Unit",,,,,,,"Product Info Column",,No,No,No,,,700TB,,,,,,,0.00,,No,,,1099.9900,,,Alliance,,43.00,15.00,,,,,15.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,13000,,1,,,2,,,"2016-04-07 18:19:29",,,No,4,LCD,120,,146.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0206,,"Power Unit",simple,,,base,,,,650.000,0.00,,,,,,,,,,Beam,,,,,,,,,,,,,,,,4.00,104.000,,,Grey,,,,,,,,,,"2016-04-05 14:14:17",,,,,68.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Alliance 650SB Power Unit",,,,,,,"Product Info Column",,No,No,No,,,650SB,,,,,,,0.00,,No,,,999.9900,,,Alliance,,36.00,15.00,,,,,15.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,3000,,1,,,2,,,"2016-04-07 18:19:29",,,No,4,LCD,120,,136.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0207,,"Power Unit",simple,,,base,,,,600.000,0.00,,,,,,,,,,Beam,,,,,,,,,,,,,,,,4.00,96.000,,,Grey,,,,,,,,,,"2016-04-05 14:14:17",,,,,68.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Alliance 600SA Power Unit",,,,,,,"Product Info Column",,No,No,No,,,600SA,,,,,,,0.00,,No,,,799.9900,,,Alliance,,36.00,15.00,,,,,15.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,4000,,1,,,2,,,"2016-04-07 18:19:29",,,No,4,LCD,120,,132.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0208,,"Power Unit",simple,,,base,,,,465.000,13.10,,,,,,,,,,DuoVac,,,,,,,,,,,,,,,,7.60,95.000,,,Blue,,,,,,,,,,"2016-04-05 14:14:17",,,,,69.20,test,,,No,,,,,,,,,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"SIL1530 Slilentium Power Unit",,,,,,,"Product Info Column",,No,No,No,,,SIL1530,,,,,,,0.00,,No,,,0.0000,,,Slilentium,,35.00,13.75,,,,,13.75,,,,,0,,,,0,,,,,,,,test,,,,,No,,,9000,,1,,"Filtered Cyclonic",2,,,"2016-04-07 18:19:29",,,Yes,4,None,120,,136.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0209,,"Power Unit",simple,,,base,,,,713.000,13.80,,,,,,,,,,Vacumaid,,,,,,,,,,,,,,,,9.50,142.000,,,Black,,,,,,,,,,"2016-04-05 14:14:17",,,,,68.00,test,,,No,,,,,,,,Inverted,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,,,,,,"Use config","Use config",,,"SR60 Power Unit",,,,,,,"Product Info Column",,No,No,No,,,SR60,,,,,,,0.00,,No,,,929.9500,,,,,43.50,16.13,,,,"10 Year limited Lifetime",16.13,,,,,0,,,,0,,,,,,,,test,,,,,No,,,12000,,1,,,2,,,"2016-04-07 18:19:29",,,Yes,4,None,120,,147.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0210,,"Power Unit",simple,,,base,,,,663.000,14.00,,,,,,,,,,Vacumaid,,,,,,,,,,,,,,,,6.75,0.000,,,Black,,,,,,,,,,"2016-04-05 14:14:17",,,,,60.00,test,,,No,,,,,,,,Inverted,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"SR46 Power Unit",,,,,,,"Product Info Column",,No,No,No,,,SR46,,,,,,,0.00,,No,,,699.9500,,,,,39.88,12.88,,,,,12.88,,,,,0,,,,0,,,,,,,,test,,,,,No,,,95000,,1,,"Filtered Cyclonic",2,,,"2016-04-07 18:19:29",,,No,4,None,120,,132.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0211,,"Power Unit",simple,,,base,,,,740.000,14.50,,,,,,,,,,Vacumaid,,,,,,,,,,,,,,,,6.75,138.000,,,Black,,,,,,,,,,"2016-04-05 14:14:17",,,,,58.00,test,,,No,,,,,,,,Inverted,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"SR14 Power Unit",,,,,,,"Product Info Column",,No,No,No,,,SR14,,,,,,,0.00,,No,,,629.9500,,,,,39.88,12.88,,,,,12.88,,,,,0,,,,0,,,,,,,,test,,,,,No,,,6000,,1,,"Filtered Cyclonic",2,,,"2016-04-07 18:19:29",,,Yes,4,None,120,,138.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0212,,"Power Unit",simple,,,base,,,,740.000,15.00,,,,,,,,,,Vacumaid,,,,,,,,,,,,,,,,6.75,138.000,,,Black,,,,,,,,,,"2016-04-05 14:14:17",,,,,58.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,,,,,,"Use config","Use config",,,"SR38 Power Unit",,,,,,,"Product Info Column",,No,No,No,,,SR38,,,,,,,0.00,,No,,,509.9500,,,,,23.38,12.88,,,,,12.88,,,,,0,,,,0,,,,,,,,test,,,,,No,,,6000,,1,,Bagged,2,,,"2016-04-07 18:19:29",,,No,4,None,120,,138.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0213,,"Power Unit",simple,,,base,,,,631.000,15.80,,,,,,,,,,Vacumaid,,,,,,,,,,,,,,,,9.50,121.000,,,Black,,,,,,,,,,"2016-04-05 14:14:17",,,,,66.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"S2400 Power Unit",,,,,,,"Product Info Column",,No,No,No,,,S2400,,,,,,,0.00,,No,,,709.9500,,,,,43.38,16.13,,,,,16.13,,,,,0,,,,0,,,,,,,,test,,,,,No,,,10000,,1,,,2,,,"2016-04-07 18:19:29",,,Yes,4,None,120,,142.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
VB:0000,,"Backpack Vacuum",simple,,,base,,,,1200.000,12.00,,,,,,,,,,DustCare,,,,,,,,,,,,,,,,1.50,0.000,,14.00,Grey,,,,,No,No,,,,"2016-04-05 14:15:33",,,,,69.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,No,,,,,0,,,,,,,,,,,,"14 inch carpet brush",,,,"14 inch bare floor brush",,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Super 120 Plastic Backpack",,,,,,0.00,"Product Info Column",,No,No,Yes,,,,,,,,No,,0.00,,No,0,No,269.9500,,,,,0.00,0.00,,Yes,,"1 Year",0.00,,,,,0,,,,0,,,No,,,,,test,,,,,No,,,,,1,,Bagged,2,,,"2016-04-07 19:14:41",,,No,4,None,0,,100.000,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
VB:0001,,"Backpack Vacuum",simple,,,base,,,,1440.000,12.00,,,,,,,,,,DustCare,,,,,,,,,,,,,,,,2.00,70.000,,0.00,Silver,,,,,No,No,,,,"2016-04-05 14:15:33",,,,,69.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,No,,,,,0,,,,,,,,,,,,yes,yes,,,"Rug/Floor Tool",,,,,,,,"Telescopic Brushed Steel Wand",No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Jetpac Backpack",,,,,,0.00,"Product Info Column",,No,No,No,,,,,,,,No,,0.00,,No,0,No,152.4800,,,,,0.00,0.00,,No,,,0.00,,,,,0,,,,0,,,No,,,,,test,,,,,No,,,,,1,,Bagged,2,,,"2016-04-07 19:14:41",,,No,4,None,0,,98.000,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
VB:0002,,"Backpack Vacuum",simple,,,base,,,,1440.000,10.00,,,,,,,,,,DustCare,,,,,,,,,,,,,,,,2.50,70.000,,0.00,Silver,,,,,No,No,,,,"2016-04-05 14:15:33",,,,,69.00,test,,,No,,,,,,,,,No,HEPA,,,,,0,,,,,No,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Dustcare Super 120 Aluminum Backpack",,,,,,0.00,"Product Info Column",,No,No,No,,,,,,,,No,,0.00,,No,0,No,299.9500,,,,,0.00,0.00,,Yes,,"1 Year",0.00,,,,,0,,,,0,,,No,,,,,test,,,,,No,,,,,1,,Bagged,2,,,"2016-04-07 19:14:41",,,No,4,None,0,,120.000,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
VB:0003,,"Backpack Vacuum",simple,,,base,,,,1108.000,6.20,,,,,,,,,,ProTeam,,,,,,,,,,,,,,,,1.50,124.000,,0.00,Grey,,,,,No,No,,,,"2016-04-05 14:15:33",,,,,66.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,No,,,,,0,,,,,,,,,,,,,"11&quot; Crevice Tool","3&quot; Dust Brush w/ Reducer",,"14&quot; Hard Floor Tool w/Nylon Brush",,,,,,,"5&quot; Upholstery Tool","56&quot; Two-Piece Two-Bend Aluminum Wand w/Button Lock",No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"ProVac FS6 Backpack",,,,,,0.00,"Product Info Column",,No,No,No,,,107363,,,,,No,,50.00,,No,0,No,393.0000,,,,,0.00,0.00,,No,,,0.00,,,,,0,,,,0,,,No,,,,,test,,,,,No,,,,,1,,,2,,,"2016-04-07 19:14:41",,,No,4,None,0,,0.000,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
VB:0004,,"Backpack Vacuum",simple,,,base,,,,1200.000,7.50,,,,,,,,,,ProTeam,,,,,,,,,,,,,,,,2.50,124.000,,0.00,Grey,,,,,No,No,,,,"2016-04-05 14:15:33",,,,,66.00,test,,,Yes,,,,,,,,,No,,,,,,0,,,,,No,,,,,0,,,,,,,,,,,,,"17-inch crevice tool","dusting brush",,"a floor tool suitable for a variety of surfaces and a nylon brush.",,,,,,,"upholstery tool","a two-bend wand made of aluminum",No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Everest Backpack",,,,,,0.00,"Product Info Column",,No,No,No,,,,,,,,No,,0.00,,No,0,No,409.9900,,,,,25.50,0.00,,No,,,10.50,,,,,0,,,,0,,,No,,,,,test,,,,,No,,,,,1,,Bagged,2,,,"2016-04-07 19:14:41",,,No,4,None,120,,0.000,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
VB:0005,,"Backpack Vacuum",simple,,,base,,,,744.000,6.20,,,,,,,,,,ProTeam,,,,,,,,,,,,,,,,2.50,124.000,,0.00,Grey,,,,,No,No,,,,"2016-04-05 14:15:33",,,,,64.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,No,,,,,0,,,,,,,,,,,,"36&quot; One-Bend Bulk Pick-Up Tool",,"3&quot; Dust Brush w/ Reducer",,"14&quot; Floor Tool w/Scallops",,,,,,,"5&quot; Upholstery Tool","56&quot; Two-Piece Two-Bend Aluminum Wand w/Button Lock",No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"LineVacer Backpack",,,,,,0.00,"Product Info Column",,Yes,No,No,,,,,,,,No,,50.00,,No,0,No,533.0000,,,,,0.00,0.00,,No,,,0.00,,,,,0,,,,0,,,No,,,,,test,,,,,No,,,,,1,,Bagged,2,,,"2016-04-07 19:14:41",,,No,4,None,0,,0.000,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
VB:0006,,"Backpack Vacuum",simple,,,base,,,,744.000,6.20,,,,,,,,,,ProTeam,,,,,,,,,,,,,,,,1.50,124.000,,0.00,Grey,,,,,No,No,,,,"2016-04-05 14:15:33",,,,,68.00,test,,,No,,,,,,,,,No,,,,,,0,,,,,No,,,,,0,,,,,,,,,,,,,"13&quot; Crevice Tool","2 1/2&quot; - Dust Brush",,,,,,,,,"5 1/2&quot; - Upholstery Tool",,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,"Use config","Use config",,,"Sierra Backpack",,,,,,0.00,"Product Info Column",,Yes,Yes,No,,,,,,,,No,,50.00,,No,0,No,409.0000,,,,,0.00,0.00,,No,,,0.00,,,,,0,,,,0,,,No,,,,,test,,,,,No,,,,,1,,,2,,,"2016-04-07 19:14:41",,,No,4,None,0,,0.000,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
